,Source,Latitude,Longitude,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Relative Humidity Units,Wind Speed Units
0,CDS-ERA5,-33.9664627469365,18.474003549421063,2,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,c,mbar,%,m/s
Index,Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Wind Speed,Relative Humidity,Temperature,Pressure
1,2022,1,22,12,0,143.03,894.4199829101562,987.5900268554688,144.98,144.98,986.260009765625,3.9000000953674316,55.84000015258789,27.229999542236328,1012.4099731445312
2,2022,1,22,15,0,218.32,869.6300048828125,966.27001953125,217.97,217.97,974.72998046875,5.599999904632568,55.52000045776367,27.510000228881836,1010.9299926757812
3,2022,1,22,18,0,276.09,225.97999572753906,362.3900146484375,311.64,311.64,459.8800048828125,4.96999979019165,55.2400016784668,27.18000030517578,1009.97998046875
