,Source,Latitude,Longitude,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Relative Humidity Units,Wind Speed Units
0,CDS-ERA5,-33.920495000422065,18.413475,2,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,c,mbar,%,m/s
Index,Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Wind Speed,Relative Humidity,Temperature,Pressure
1,2023,3,16,12,0,220.97,712.6099853515625,807.3300170898438,216.28,216.28,811.2000122070312,1.059999942779541,41.099998474121094,29.84000015258789,999.7000122070312
2,2023,3,16,15,0,289.02,670.030029296875,775.3599853515625,280.43,280.43,792.010009765625,2.9700000286102295,41.06999969482422,30.020000457763672,997.8200073242188
3,2023,3,16,18,0,202.89,140.72999572753906,232.91000366210938,224.37,224.37,269.79998779296875,2.609999895095825,51.93000030517578,26.219999313354492,997.6900024414062
