,Source,Latitude,Longitude,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Relative Humidity Units,Wind Speed Units
0,CDS-ERA5,-33.920495,18.413475,2,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,c,mbar,%,m/s
Index,Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Wind Speed,Relative Humidity,Temperature,Pressure
1,2023,1,1,12,0,131.52,941.5,1039.1199951171875,131.93,131.93,1038.56005859375,7.389999866485596,53.0099983215332,24.530000686645508,1007.8300170898438
2,2023,1,1,15,0,221.62,906.1900024414062,1002.6300048828125,221.78,221.78,1002.3099975585938,9.5600004196167,56.34000015258789,24.649999618530273,1006.2899780273438
3,2023,1,1,18,0,320.68,401.260009765625,474.260009765625,320.2,320.2,473.3599853515625,10.779999732971191,62.7599983215332,23.239999771118164,1005.1599731445312
