,Source,Latitude,Longitude,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Relative Humidity Units,Wind Speed Units
0,CDS-ERA5,-5.188032840530047,-42.833327128597865,-3,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,c,mbar,%,m/s
Index,Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Wind Speed,Relative Humidity,Temperature,Pressure
1,2023,10,28,12,0,146.19,725.5999755859375,860.6599731445312,129.77,129.77,1039.1700439453125,3.680000066757202,31.8799991607666,37.189998626708984,993.3900146484375
2,2023,10,28,15,0,326.87,588.6300048828125,696.530029296875,330.05,330.05,721.7999877929688,3.5299999713897705,24.520000457763672,39.45000076293945,990.0999755859375
3,2023,10,28,18,0,34.8,18.989999771118164,33.20000076293945,35.57,35.57,33.93000030517578,1.7300000190734863,30.729999542236328,35.63999938964844,990.0999755859375
