,Source,Latitude,Longitude,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Relative Humidity Units,Wind Speed Units
0,CDS-ERA5,-54.81061857754942,-68.29612599557589,2,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,c,mbar,%,m/s
Index,Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Wind Speed,Relative Humidity,Temperature,Pressure
1,2023,1,1,12,0,73.42,28.399999618530273,80.0999984741211,112.23,112.23,134.13999938964844,2.0299999713897705,90.12000274658203,4.28000020980835,950.3800048828125
2,2023,1,1,15,0,274.72,233.8300018310547,422.010009765625,273.76,273.76,608.0800170898438,3.2799999713897705,69.26000213623047,7.130000114440918,950.969970703125
3,2023,1,1,18,0,381.3,207.33999633789062,556.0599975585938,222.01,222.01,922.2100219726562,4.199999809265137,61.689998626708984,9.289999961853027,949.77001953125
