,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
0,NSRDB,1145369,-,-,-,38.93,-77.02,-5,62,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,v3.2.2
1,Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,
2,2022,1,1,0,0,0,0,0,0,0,0,8,10.200000000000001,163.9,0,0.12,2.4000000000000004,3.1,170,97.36,10.600000000000001,1005,,,,,,,,,,,,,,,,,,,,,,,,
3,2022,1,1,0,30,0,0,0,0,0,0,8,10.200000000000001,163.6,0,0.12,2.6,3.1,175,97.36,10.600000000000001,1005,,,,,,,,,,,,,,,,,,,,,,,,
4,2022,1,1,1,0,0,0,0,0,0,0,8,10.3,161.02,0,0.12,2.7,3,181,98.48,10.5,1005,,,,,,,,,,,,,,,,,,,,,,,,
5,2022,1,1,1,30,0,0,0,0,0,0,8,10.200000000000001,156.93,0,0.12,2.4000000000000004,3,184,100,10.200000000000001,1005,,,,,,,,,,,,,,,,,,,,,,,,
6,2022,1,1,2,0,0,0,0,0,0,0,8,9.9,151.99,0,0.12,2,3,187,100,9.9,1005,,,,,,,,,,,,,,,,,,,,,,,,
7,2022,1,1,2,30,0,0,0,0,0,0,8,9.9,146.59,0,0.12,1.9000000000000001,3,193,100,9.9,1005,,,,,,,,,,,,,,,,,,,,,,,,
8,2022,1,1,3,0,0,0,0,0,0,0,7,9.9,140.95000000000002,0,0.12,1.9000000000000001,3.1,198,100,9.9,1005,,,,,,,,,,,,,,,,,,,,,,,,
9,2022,1,1,3,30,0,0,0,0,0,0,5,10,135.18,0,0.12,2.2,3.1,213,98.58,10.200000000000001,1005,,,,,,,,,,,,,,,,,,,,,,,,
