,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
0,NSRDB,1207856,-,-,-,39.97,-75.14,-5,8,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,v3.2.2
1,Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,
2,2022,1,1,0,0,0,0,0,0,0,0,8,8.200000000000001,163.02,0,0.09,1.2000000000000002,2.7,193,100,8.200000000000001,1011,,,,,,,,,,,,,,,,,,,,,,,,
3,2022,1,1,0,30,0,0,0,0,0,0,7,8.3,162.17000000000002,0,0.09,1.3,2.8000000000000003,190,100,8.3,1011,,,,,,,,,,,,,,,,,,,,,,,,
4,2022,1,1,1,0,0,0,0,0,0,0,7,8.4,159.31,0,0.09,1.4000000000000001,2.8000000000000003,186,100,8.4,1010,,,,,,,,,,,,,,,,,,,,,,,,
5,2022,1,1,1,30,0,0,0,0,0,0,8,8.4,155.14000000000001,0,0.09,1.4000000000000001,2.8000000000000003,180,100,8.4,1010,,,,,,,,,,,,,,,,,,,,,,,,
6,2022,1,1,2,0,0,0,0,0,0,0,7,8.4,150.22,0,0.09,1.3,2.8000000000000003,174,100,8.4,1010,,,,,,,,,,,,,,,,,,,,,,,,
7,2022,1,1,2,30,0,0,0,0,0,0,7,8.4,144.89000000000001,0,0.09,1.3,2.9000000000000004,173,100,8.4,1010,,,,,,,,,,,,,,,,,,,,,,,,
8,2022,1,1,3,0,0,0,0,0,0,0,8,8.4,139.32,0,0.09,1.3,2.9000000000000004,171,99.2,8.5,1009,,,,,,,,,,,,,,,,,,,,,,,,
9,2022,1,1,3,30,0,0,0,0,0,0,8,8.4,133.64000000000001,0,0.09,1.4000000000000001,3,176,97.87,8.700000000000001,1009,,,,,,,,,,,,,,,,,,,,,,,,
10,2022,1,1,4,0,0,0,0,0,0,0,4,8.9,127.9,0,0.09,1.6,3,180,99.34,9,1009,,,,,,,,,,,,,,,,,,,,,,,,
11,2022,1,1,4,30,0,0,0,0,0,0,4,8.9,122.16,0,0.09,1.7000000000000002,3,189,98.02,9.200000000000001,1009,,,,,,,,,,,,,,,,,,,,,,,,
12,2022,1,1,5,0,0,0,0,0,0,0,5,9.3,116.45,0,0.09,1.8,3,199,99.09,9.4,1009,,,,,,,,,,,,,,,,,,,,,,,,
13,2022,1,1,5,30,0,0,0,0,0,0,8,9.3,110.81,0,0.09,1.6,2.9000000000000004,209,99.75,9.3,1009,,,,,,,,,,,,,,,,,,,,,,,,
14,2022,1,1,6,0,0,0,0,0,0,0,7,9.200000000000001,105.26,0,0.09,1.5,2.9000000000000004,220,100,9.200000000000001,1009,,,,,,,,,,,,,,,,,,,,,,,,
15,2022,1,1,6,30,0,0,0,0,0,0,7,9,99.85000000000001,0,0.09,1.3,2.9000000000000004,229,100,9,1009,,,,,,,,,,,,,,,,,,,,,,,,
16,2022,1,1,7,0,0,0,0,0,0,0,7,8.8,94.60000000000001,0,0.09,1,2.9000000000000004,238,100,8.8,1009,,,,,,,,,,,,,,,,,,,,,,,,
17,2022,1,1,7,30,2,0,2,9,77,10,6,9,89.14,71,0.09,0.9,2.9000000000000004,238,98.47,9.200000000000001,1009,,,,,,,,,,,,,,,,,,,,,,,,
18,2022,1,1,8,0,8,0,8,31,334,62,6,9.4,84.61,100,0.09,0.9,3,238,98.59,9.600000000000001,1009,,,,,,,,,,,,,,,,,,,,,,,,
19,2022,1,1,8,30,9,0,9,44,496,129,6,9.4,80.19,14,0.09,0.9,3,240,96.63,9.9,1009,,,,,,,,,,,,,,,,,,,,,,,,
20,2022,1,1,9,0,8,0,8,55,598,199,6,9.9,76.09,0,0.09,0.8,3.1,241,97.54,10.3,1009,,,,,,,,,,,,,,,,,,,,,,,,
21,2022,1,1,9,30,9,0,9,64,663,264,6,9.9,72.41,0,0.09,0.9,3.1,244,95.61,10.600000000000001,1009,,,,,,,,,,,,,,,,,,,,,,,,
22,2022,1,1,10,0,14,0,14,70,707,321,6,10.3,69.22,0,0.09,0.9,3.1,248,96.32000000000001,10.9,1009,,,,,,,,,,,,,,,,,,,,,,,,
23,2022,1,1,10,30,30,0,30,75,737,368,6,10.3,66.61,0,0.09,0.9,3.2,238,95.05,11.100000000000001,1009,,,,,,,,,,,,,,,,,,,,,,,,
24,2022,1,1,11,0,31,0,31,78,756,402,6,10.600000000000001,64.65,0,0.09,0.8,3.2,229,95.65,11.3,1008,,,,,,,,,,,,,,,,,,,,,,,,
25,2022,1,1,11,30,35,0,35,80,770,425,6,10.600000000000001,63.39,0,0.09,0.7000000000000001,3.2,206,93.68,11.600000000000001,1007,,,,,,,,,,,,,,,,,,,,,,,,
26,2022,1,1,12,0,41,0,41,81,773,433,6,11.100000000000001,62.9,0,0.09,0.5,3.3000000000000003,184,93.94,12,1006,,,,,,,,,,,,,,,,,,,,,,,,
27,2022,1,1,12,30,31,0,31,79,774,428,6,11.100000000000001,63.18,0,0.09,0.5,3.3000000000000003,176,93.33,12.100000000000001,1006,,,,,,,,,,,,,,,,,,,,,,,,
28,2022,1,1,13,0,39,0,39,76,767,410,6,11.4,64.22,0,0.09,0.5,3.4000000000000004,168,94.47,12.3,1005,,,,,,,,,,,,,,,,,,,,,,,,
29,2022,1,1,13,30,18,0,18,74,746,378,6,11.4,65.99,0,0.09,0.5,3.4000000000000004,150,95.09,12.200000000000001,1005,,,,,,,,,,,,,,,,,,,,,,,,
30,2022,1,1,14,0,36,1,36,70,715,333,7,11.700000000000001,68.42,0,0.09,0.4,3.5,132,97.34,12.100000000000001,1004,,,,,,,,,,,,,,,,,,,,,,,,
31,2022,1,1,14,30,29,1,29,70,648,276,7,11.700000000000001,71.45,0,0.09,0.5,3.5,132,98.63,11.9,1004,,,,,,,,,,,,,,,,,,,,,,,,
32,2022,1,1,15,0,43,3,44,67,552,210,7,11.3,75.01,0,0.09,0.5,3.6,131,97.43,11.700000000000001,1004,,,,,,,,,,,,,,,,,,,,,,,,
33,2022,1,1,15,30,17,0,17,58,442,142,7,11.3,79,29,0.09,0.7000000000000001,3.6,130,100,11.3,1004,,,,,,,,,,,,,,,,,,,,,,,,
34,2022,1,1,16,0,9,0,9,41,282,74,7,10.9,83.34,100,0.09,0.8,3.6,129,99.79,10.9,1004,,,,,,,,,,,,,,,,,,,,,,,,
35,2022,1,1,16,30,4,0,4,17,89,20,8,10.8,87.89,86,0.09,0.9,3.5,132,100,10.8,1004,,,,,,,,,,,,,,,,,,,,,,,,
36,2022,1,1,17,0,0,0,0,0,0,0,7,10.700000000000001,93.16,0,0.09,1,3.5,136,100,10.700000000000001,1004,,,,,,,,,,,,,,,,,,,,,,,,
37,2022,1,1,17,30,0,0,0,0,0,0,7,10.600000000000001,98.35000000000001,0,0.09,1.1,3.6,138,100,10.600000000000001,1003,,,,,,,,,,,,,,,,,,,,,,,,
38,2022,1,1,18,0,0,0,0,0,0,0,7,10.5,103.72,0,0.09,1.1,3.6,141,99.89,10.5,1003,,,,,,,,,,,,,,,,,,,,,,,,
39,2022,1,1,18,30,0,0,0,0,0,0,8,10.4,109.23,0,0.09,1.1,3.7,143,100,10.4,1003,,,,,,,,,,,,,,,,,,,,,,,,
40,2022,1,1,19,0,0,0,0,0,0,0,4,10.200000000000001,114.85000000000001,0,0.09,1,3.8000000000000003,145,99.67,10.200000000000001,1003,,,,,,,,,,,,,,,,,,,,,,,,
